category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb
Entertainment	2012-11-26	UCfBdqJCkjt6z-E4sMOdLwWQ	Manas Robin	138000	89	78925.0
People & Blogs	2017-05-20	UCNd1xoBimkOA81AMyhceuvQ	MANAS SARKAR BJP	16300	39	695947.0
Entertainment	2017-04-07	UCKK8-FeA2PuLUBbnnNW6u6Q	MANASLU TV	14000	106	717326.0
Nonprofits & Activism	2014-01-01	UCSQ4EcsdtS3YxG2oHLF6heg	Manav Dharam	34400	170	361223.0
People & Blogs	2018-05-29	UCRc7W7gDbaiJxjp0V3g9NSQ	Manazir official	405000	11	27198.0
Nonprofits & Activism	2010-12-12	UCJjuggclDEHRQ09vXG61ulw	MANA_STAR Network	103000	255	148262.0
People & Blogs	2013-09-05	UCTSAZOQBBMkLV_waCn-7TLQ	ManBehindACameraASMR...	318000	366	52778.0
Music	2006-12-02	UCAsptD_XMmQdzRxlkWkEd_A	ManBetterKnow	405434	119	42675.0
Howto & Style	2008-07-04	UCvuxP-7u-XOBn954mDN-d-w	Manboobs	16900	46	660706.0
Music	2013-01-07	UC9iV_jDimIVtFhDbTwOE4BA	Manc Mantas	222000	154	74139.0
Entertainment	2010-04-18	UCc9i8iExpVch7swujYEAsCQ	Mancat	114443	186	148949.0
Howto & Style	2011-11-20	UCxKp57dtigGYrmOUcpaG_0Q	ManCaveMeals	18100	233	602953.0
People & Blogs	2012-12-11	UCbEFXgV6bWbhwHIWNr2psZA	ManCaveTV	104000	119	151194.0
Music	2013-09-20	UC1HBaotmt9PHoF_Xca0lg9Q	Manchester Music	12800	146	770717.0
Music	2006-03-27	UCxi28TQABtfZ0pfvMVozD7Q	Manchester Orchestra...	93500	164	161769.0
Education	2015-01-06	UCtJ9PC1Llj4f2DWPEz8utTA	Manchester Twp Schoo...	10300	102	920473.0
Sports	2017-12-19	UC6yW44UGJJBvYTlfC7CRg2Q	Manchester United	2060000	1058	5043.0
Sports	2012-03-27	UCSoH-gNtz_ENvl8xJCic6QA	Manchester United Fo...	82074	260	190012.0
Music	2009-09-02	UC6dVU35ESCJnLE3ojC7ZaQQ	manchesterorchVEVO	27200	30	472212.0
Nonprofits & Activism	2007-12-12	UC7qH-uzX0yfgfZ9oOO6oE1w	Daniel Kolenda	41900	348	275812.0
Music	2011-06-22	UCc28q6XYs4RPN9eehLVuDQA	Daniel Koren	16500	99	660825.0
Education	2010-04-20	UC9NTBQja_r2NI5e56PvuSAA	Daniel Kreuter	56700	250	253163.0
Gaming	2009-12-08	UCWv6ueBFfCwqpUgyus8H_zA	Daniel Kross	410000	1603	45346.0
Music	2006-07-16	UC7U8JLsvsVuXkxxxwNATdYQ	Daniel Kurganov, Vio...	13100	410	771926.0
Music	2013-12-02	UCad-_hTvV-yBPcpy9jwQWeA	Daniel Levi	17354	28	625509.0
People & Blogs	2014-04-25	UCEJonaNpmKOV6insNak1pcw	Daniel Lopez	212000	611	
Music	2015-09-18	UChfsIanorHPd6edPRvpstpA	Daniel Ludtke - Topi...	11893	81	724170.0
Nonprofits & Activism	2008-11-09	UCx0ZQDIzJGUhmL4Wlq3q7XA	Daniel Mackler	26800	182	437731.0
Entertainment	2007-03-19	UCB99aK4f2WaH96joccxLvSQ	Daniel Madison	56700	249	234899.0
News & Politics	2013-12-08	UCJeZHwcNy0QXxj21FgrJFlg	Daniel Malice	22800	356	468193.0
Science & Technology	2013-06-10	UCi3r7qQejDD-joRZCvso-Bg	Daniel Malone	10500	138	773466.0
Sports	2015-03-22	UCxZzSxuBaWqbHXkLb-kxRpw	Daniel Mann	68565	58	193011.0
Travel & Events	2013-08-02	UCiNCvGzwadWCZIzTUjoApRQ	Daniel Marsh	394000	299	45469.0
People & Blogs	2012-06-25	UCM9AjjOmNfbHp5TjhJvyqdg	Daniel McCarthy	12200	217	788383.0
Film and Animation	2016-10-23	UCXeKbLBy5lyC9_2ET2LAHbA	Daniel Mendoza	91300	111	174312.0
Film and Animation	2006-12-06	UC6g6gjIQzkIa31jmdHmlDAg	Daniel Menendez	12700	124	787860.0
Music	2014-09-03	UCPascXL4VviE9wHLsepiEZg	Daniel Mitchell	24700	191	434826.0
Howto & Style	2014-05-14	UCZ3rO8Nb9I1p9Wh_lQ6ebew	Daniel Moss	12500	253	739709.0
Sports	2006-10-02	UC0w4AA42ItXQEb9aZld87-w	Daniel Negreanu	351000	293	48724.0
Education	2015-01-30	UC4db8x07Kr0LQODjjen6w7A	Taylor Allard	14600	88	744777.0
Howto & Style	2012-01-09	UCPKQCiX7D5qH4nk_cU_w_yg	Taylor Anise	36800	337	355214.0
People & Blogs	2011-11-28	UC35K3xgKfNXBd6ve_SUDJXw	Taylor Anne	12400	94	849808.0
Entertainment	2015-02-15	UCIeWn_WVQSPJOR2cPCQL2-w	Taylor ASMR	44300	123	294356.0
Entertainment	2016-01-18	UC2PvxqPFSxpq-uR0u3R1nFw	Taylor Audrey	153000	67	102127.0
Comedy	2010-06-17	UCEHaiWJC-HzEVSghHUvKkcw	Taylor Avonte	17000	50	661367.0
People & Blogs	2007-04-23	UCr67AW-AhPT5A-er9Uyg4nA	Taylor B	10200	160	962353.0
Howto & Style	2010-05-19	UCXYYwdNgc7xIHJYgPLGmUww	Taylor Bee	321000	318	56794.0
Film and Animation	2008-05-18	UCdXo448KcHrq95zvcoJvhqg	Taylor Brooker Art	35200	51	379238.0
People & Blogs	2013-09-23	UCMBli0InHqxEwD4bjAbrHTA	Taylor Caniff	385000	34	48914.0
People & Blogs	2011-12-23	UCxHBO6bYxH0eAJ1Hi6850lQ	Taylor Chamberlain- ...	100000	395	157711.0
People & Blogs	2015-12-26	UCuLTG7wAYmortOYdWbDgrHg	Taylor Chay	37380	163	369494.0
Sports	2016-11-09	UCwcmA3ntMmoRyMFszww3_Zg	Taylor Cummings	12500	364	819275.0
Music	2010-04-29	UCk40qSGYnVdFFBNXRjrvdpQ	Taylor Davis	2680000	193	4158.0
Travel & Events	2017-11-07	UCYzxEJsvn0S_JVYkZx5UAFQ	Taylor Dzaman	46300	176	280039.0
Entertainment	2016-12-27	UC2Qf21mV-8HdOuNa8srmLZQ	Taylor Faye	240000	196	73365.0
Music	2010-12-23	UCJH0Ov30iLFhyalvZcKsdJQ	Taylor Felt Music	65500	79	213378.0
Education	2011-11-01	UCQFUt_0q3piEMaxJtOsz0fQ	Taylor Fuentes	48500	343	
Music	2014-09-27	UCQ75pjIhIi8BFqWdTnUpfjA	Taylor Gang	223000	365	79355.0
Music	2015-03-28	UCceZc-Bn_geUR5sQRlCKQow	Taylor Gang	91900	63	160373.0
People & Blogs	2014-09-09	UCoOk1yZwdIDxcZnZd3XuKkQ	Pookie Senpai	181000	105	97590.0
People & Blogs	2017-01-17	UCDCo-PRGUkbSkazqFIqyOyg	Pookie's View	23600	533	487764.0
Gaming	2015-11-18	UC2VO77Pwn4E786c0KiWKAjg	PookieTUBE	198000	933	93659.0
Film and Animation	2012-03-18	UCKQPtjoZB5YpUiZKonVyZRQ	Pookiez	10000	35	953820.0
Sports	2017-07-11	UCfYwY1an1DTNZbAGFW_V-bg	POOL CHANNEL	33500	166	383779.0
Science & Technology	2007-03-23	UCXO2z5cJMuY5ooJP7aS6b9Q	Poolarity - Life Hac...	23200	1043	477345.0
Music	2012-02-08	UCka2GfVhKdJWaPTk2hlgEaA	Poolside	21200	65	509969.0
Howto & Style	2018-03-15	UCsbZGadKfSM8Y62PRe_pLPA	Poolside Playlist	107000	31	144567.0
People & Blogs	2017-07-02	UCl2-y0KlVmG3SrRrahlh8Sg	Poonam & Priyanka	276000	58	59384.0
People & Blogs	2013-11-19	UC8fD64z8lUxNqn-jNU1oc7Q	Poonam & Priyanka Da...	320182	17	51952.0
Howto & Style	2015-12-28	UCuxx0GubChNmWx8APWg1peQ	Poonam BMM	92400	246	168494.0
Howto & Style	2016-10-01	UCrprotABYYQgIfkmb97cYkw	Poonam Kaur recipess...	726478	399	20633.0
Howto & Style	2014-07-04	UC0T2juI9YTXJus9M9Lvq9eg	Poonam's Kitchen	566000	250	28964.0
Music	2017-01-20	UClzpF69syHhnkKjQGrL710w	Poonia Films	163000	138	99727.0
Nonprofits & Activism	2018-06-06	UCZY-aic3S3EkZ-xYYaqJtlw	Pooper Master TV	16200	23	702458.0
Sports	2009-11-03	UCAn-0qWtP5T19GN5e_v52kw	pooponunicycle	29425	152	439700.0
Comedy	2014-01-19	UCkkZ_l81pLGZ_3nKthcBd2A	Poops4theWorld	59100	82	253703.0
Entertainment	2018-02-23	UC5KeJdSG82XytSwJZbHaSCA	Poopsie Slime Surpri...	135000	38	96823.0
People & Blogs	2015-07-27	UC0agnMTQwyi12WJHbGILG5A	Poopturds	11226	57	858369.0
Music	2011-04-28	UCHsri9zR-4DUpMQluCE_ttg	Poopy TV	14900	11	580764.0
Entertainment	2014-04-12	UC4z2NxFslCoE_XaOQcBas6w	Chicago Med	134000	155	108660.0
Entertainment	2017-10-12	UCywEi7aF6_eVUzjmyCejvpg	Chicago Official	329000	342	41263.0
Entertainment	2013-05-07	UCx07PjBM8PCwUmEs1CUe0IQ	Chicago P.D.	179000	221	82837.0
Entertainment	2012-06-13	UCkNB9j6mbComRB_QFyDd2dQ	Chicago Street TV	18200	261	577520.0
News & Politics	2013-08-08	UCvU3ALK4osa_RV4znIToB2Q	Chicago Sun-Times	33700	7095	314548.0
Music	2007-04-11	UCl2Sa1BW9yF55yjqwSLro6Q	Chicago Symphony Orc...	87200	421	172710.0
News & Politics	2006-09-19	UCB2aea_wLJJaklTOplAC82A	Chicago Tribune	61900	4356	218756.0
News & Politics	2014-07-21	UCc3if_rv0lnr69QdEoJ_bPg	Chicago World News	82200	196	186657.0
Entertainment	2012-03-07	UC_lwxSQzkfistXbH83zf2wA	Chicago's Best	266000	1899	62879.0
Music	2009-07-29	UCoz1xq3RzFUAb64TUTjMVdA	ChicagoBassed	15000	48	696383.0
Education	2007-12-05	UCPXWOwTvTD3Wg-xSdopS_6g	chicagobotanicgarden...	13000	528	750711.0
Music	2006-11-26	UCI5tGbwiVHy4BsZUXcSWvwQ	chicagomusicexchange...	276000	1345	63560.0
Gaming	2015-03-11	UCKfFviyQkZMTOIJpxfbESUg	ChicaTV	286000	63	52730.0
Howto & Style	2012-08-31	UCzFdKpx5J0LBNm_phXPZedw	Chicco	31800	1343	390148.0
Education	2011-03-02	UC78izuGo_HLU2FNL9VUR9xA	ChiccoUSA	11340	173	818009.0
Entertainment	2015-11-29	UCZScL_r0A7Ahqn0xJULdOfw	ChiChi TV	4715052	497	1818.0
Music	2015-01-20	UCVSD0i_RPWvpKmSBTPxXiEw	CHICHINGCHINGVEVO	19000	17	615834.0
Music	2013-02-19	UCUnRvY2J72EqJ0RroVuCXNg	CHICHOMAN507 PLENA P...	62600	1481	226323.0
Music	2009-03-20	UCqUDuYNcBaYkBgWikXvdZCw	Chick Corea	55400	146	250354.0
Education	2018-09-30	UCgK8idSUqM_imrI1qeNsKOQ	Chickadee Enginerdin...	40100	17	331637.0
Howto & Style	2014-01-28	UCya38o8VILJNVqhOJ13eNcQ	Rafa Fonseca Art Stu...	46600	134	282423.0
Music	2012-09-27	UCkDa2-TwaLlrgKCJpb7GmGg	Rafa G	69300	23	
Music	2010-04-01	UCib-eeSJ1mutOAo_bp5gWMA	RAFA MISTER	19600	592	
Music	2011-07-24	UCucAX_09qOsFmQ8RoTvDz4Q	Rafa Navarro	26700	129	454075.0
Gaming	2014-06-10	UCviTskelPqmiByH8smbdQng	Rafa Nintendo	17788	997	591124.0
Gaming	2015-05-01	UCb_4XHl66xNgKCO8Hn8LIvw	Rafa Paulo	37800	139	320943.0
Music	2007-10-19	UCnBpA1nkVtX96_hZgAUduVQ	Rafa Toledo Prats	10200	109	845840.0
Film and Animation	2017-02-10	UCqD36zaAfUry3NyBpGIFamA	Rafa Warrior	12600	45	
Education	2012-08-06	UCed9zPH89wWwFJt_oGrhE_g	Rafael Alonso Lantar...	23200	130	526913.0
Music	2008-08-14	UCm_oCmdZrbsup4IeDA0-SQQ	Rafael Alves	420000	127	
Education	2012-09-17	UCiwSgPQnIGs0LpaM5FC2ZyA	Rafael Anguita Palom...	32274	620	401270.0
Music	2007-11-03	UCAPYWnc3GBCFN4SqFrFBXSQ	Rafael Araújo	15000	139	701248.0
Music	2012-05-10	UCEOfxCwxSe4vFQXpTXRR8Sw	Rafael Cardoso Singe...	22500	112	404160.0
Education	2016-01-13	UC3W9_TeLXVGQnEsLsLfdzUg	Rafael Cintron - 7 F...	16700	146	539685.0
Education	2013-05-17	UC6J6qYtlLQBCT6GOgv7fFAg	Rafael Eliassen	75000	685	200779.0
Gaming	2016-03-28	UCyMpzqP_425wycsVFsUgJUA	Rafael Euclides	34800	529	382314.0
Music	2010-11-20	UCYGHWVhCDLZPRoXCzWgr3cw	Rafael Flexor	11402	75	876799.0
Sports	2011-04-21	UCD0oMMnL78IdahI82FJdohg	Rafael Football	701085	383	22325.0
Gaming	2012-10-10	UCsN43PPB2L_FCD3bC1wvIsA	Rafael Kastal	17000	449	612606.0
Sports	2016-09-22	UCOG7QPIiRNlhVEakOxNEghg	Rafael Kuang Li	24300	24	503657.0
Music	2017-03-24	UCMUnKaXTFnIF8hLiMFUqbLQ	KWAYE	67000	17	207747.0
Entertainment	2008-04-02	UCfLuMSIDmeWRYpuCQL0OJ6A	Kwebbelkop	11482867	4145	396.0
Entertainment	2013-10-22	UCJDkchg7-Th60WJ5U2ZJFaA	Kween Kailah	20558	101	404547.0
People & Blogs	2010-03-29	UCCchCB5_SWZYK57nb1sXuUg	Kween LC Updates	151000	22	108426.0
Gaming	2014-07-04	UC5kETGaVj4joS-1b2QVuOBA	KwehCraft	238000	1110	77946.0
Sports	2015-12-14	UCAMnwmplS4h0-kKIKqOGn-Q	Kwesé Sports	68400	978	222076.0
Entertainment	2015-09-27	UC-oYoxvcItOG5V67gPtOHXA	Kwesi Bouie	1560000	328	8773.0
Entertainment	2009-07-12	UCbVuKnzsxNzmyVNDbiGZVFg	Kwife's Gaming Life	39400	316	325254.0
Howto & Style	2017-01-19	UCBuZwYiWTXcr3pMACoZK36g	KwikDraw 35	171000	147	97358.0
Gaming	2012-03-30	UCQMbf4NfHCJO0WP8NpSqgCA	kwingsletsplays	494000	6171	36525.0
Entertainment	2012-12-02	UC2V1ul4ul85kac0Y81wXTqQ	Kwite	653000	244	25316.0
Sports	2007-02-05	UC-zLs41xSm1SNU_OMPruGTA	kwonkicker	368000	244	49015.0
People & Blogs	2018-08-03	UCDVzv2EXv-TX1Jeuv7iIIRw	Kwote	45600	21	285783.0
Howto & Style	2016-04-09	UCs3eZc20dMA_pnAZk_y0Trg	KWShops	31800	147	397583.0
Film and Animation	2016-10-07	UCbLfKvOdSqXWYn9FEgIwX6A	KX-NØ	22300	205	344993.0
News & Politics	2006-06-27	UCgBVz3EzHYKpPS0BITvLRsg	kxan	65900	62800	218977.0
Howto & Style	2013-12-16	UCmnyuckP3d9vQqEFp6tFTSw	kxdsheldy	129000	112	123070.0
People & Blogs	2010-04-30	UC9MMyOBhFsTPWrlyDz73Bbg	KXM	13500	709	730579.0
Gaming	2015-03-02	UCPkUt_MhUMWk-4fEII6qGvw	KxngRichard	19100	111	604904.0
Education	2018-08-22	UCuvGr2RNqVRD1iFzMDkkb8w	Moonbug Kids - Fairy...	296000	179	31226.0
Education	2018-09-10	UC1QqdFv5e9QSEi0eYdfwuqw	Moonbug Kids - How t...	483000	151	28130.0
Education	2019-03-06	UCygtj8VfAI0Sez4S7u65kPg	Moonbug Kids - Sign ...	357478	82	25548.0
Education	2018-08-22	UCu0tjrzm4_n-9hkYSvlsC8A	Moonbug Kids - Sing-...	319000	170	28488.0
Education	2019-03-08	UCNqfK2erJDdk9aYahg5kA4w	Moonbug Kids - Super...	123000	139	72654.0
Music	2012-04-05	UCCBSAJ-B8QNfds8zAkjn51A	Moonchild	63300	35	198887.0
People & Blogs	2016-03-04	UC6WoaWneB3GuweOKCkI1q_g	Moonchild Love Intui...	42300	963	306838.0
People & Blogs	2018-11-02	UC6uBJ4cGdd-swr8VAZGv0Ow	MoonCiku	45300	54	310483.0
Gaming	2015-08-20	UC0ENB77eFsgo7p-Wbd_nyDw	moonducktv	32900	1338	375042.0
People & Blogs	2016-09-24	UCXCc9v88a8GCEm3IjpAHGhw	moondust.	10800	190	878513.0
Gaming	2013-03-04	UCRKeAfAZwdNbMlq_agZnW7g	MoondustBri	47200	450	286234.0
People & Blogs	2016-03-25	UCpWuR3MLD9oT-9zIsmTFUlA	Moonella and Family	576262	129	29798.0
Gaming	2016-05-08	UCUc_fc-KaLvRpl-c1DljyRw	Moonet	14300	72	737304.0
Gaming	2016-02-16	UCw3yfTEOk0-KiATPPEc1H1Q	Moonfallx	78000	219	207486.0
Autos & Vehicles	2008-07-17	UCOXDrrwQRZqOQ3iUCXN12rw	Moonfleet41	118137	1137	132788.0
Music	2017-01-07	UCX992uo_rZcESse0PwHqp8Q	moonflower	57100	36	246878.0
Gaming	2013-12-04	UCvITvcl31e8zdhvubIvxuaQ	Mooni Cookie	37100	53	379994.0
Entertainment	2018-06-23	UCdTRDAsyqlvF5xnxlyGpb_Q	Mooni Jessica	59600	67	238277.0
People & Blogs	2016-06-16	UC3DyxpmE8NWqorvpu4wbDKA	MOONIE	13500	28	750746.0
People & Blogs	2014-02-20	UCokjGNoZrmUXqqEY0xJGFbw	MOONJAY GOODMAN	55900	362	198200.0
Entertainment	2017-10-16	UCUSBBjO3Hjb1DkLDtbKUjYw	Lara's Adventures Ch...	79867	177	184610.0
Gaming	2009-02-18	UC11j-ApkeIcxSTFtBYBMq3g	lara6683	299000	630	56095.0
Howto & Style	2009-03-02	UC06roBBIe-dtlpQrZ2WsA5Q	Larai-Lulu Cnova	17400	210	645845.0
Music	2006-11-17	UCEe_5rnLszBINYHjgDqcfRg	LaRaikaa	17800	56	646475.0
Comedy	2014-07-21	UCHe3QMlPJldGMV8ftDnWYQw	LARAMAN T.V.	157593	25	102943.0
Education	2015-02-12	UCdfKXBLjBDbX2X2g0XuAbmw	Laramy-K Optical	14561	117	639516.0
Entertainment	2010-01-30	UCDuK7-k4GDXsRafaSa1vY_w	Lardi B	120000	33	143175.0
Music	2015-11-03	UC_EwP9-I1tEbevr0IHZDCng	Lardnels Music Chann...	61300	411	219486.0
Science & Technology	2006-08-10	UCJ6m0zVY_nARUZI5nGrc1Eg	lardsah	90300	498	172713.0
Education	2015-04-30	UC-Zi1yDw3U1t5Ana0cRKGPQ	LAREDO ISD ITV	28400	427	401790.0
Entertainment	2009-11-24	UCMJDp2dUkQUe3SrS7sBJ7Gw	LAREMIX	43811	1507	
Music	2009-05-29	UC5g5j3Qmiw2aVRO9hl5JlBg	larfm1	14300	169	682203.0
Music	2013-02-17	UCOncwsqy5T7xUDAFeXCJoXQ	Large Guap	15800	11	627734.0
Entertainment	2012-07-26	UCKdX5TtJb6urNG1xEcDOeuQ	LargeShortFilms	1089106	271	13754.0
Education	2012-04-06	UCdeqEGGKQ538-PLTFmgcr5g	Largest Dams	308914	130	56859.0
Entertainment	2009-08-23	UC_k3BRoDOosVANkGzgPOW5g	LargeUp	17300	144	610738.0
Music	2008-02-06	UC7Ifl1GaJT8JKaQsaWpij9w	Largo3point0	11300	172	834877.0
People & Blogs	2013-10-22	UCeyzRqY2ze0WXRx91eo4zXw	lari	48300	50	293944.0
Entertainment	2011-09-17	UCQ1g_xgMncrlZHLh4vgK5JA	lari	71700	296	202946.0
Film and Animation	2014-04-16	UCXOxJ3iOKaFnQKMMeCtZ4Lw	CoralRiggs5	27131	43	455997.0
Music	2013-06-17	UChykDGAujCvjBNiFzbCoHSQ	corandcrank	46800	34	198434.0
People & Blogs	2016-04-20	UCJkPFVmavtc_TVIIekhknSQ	Corazón Contento Co...	27935	155	312859.0
Entertainment	2007-01-09	UCPBaD-3c7erjOVuiAxob_kQ	Corazon Latino	172000	14	96434.0
Music	2007-04-17	UCGscmiHu4fLG_vKJgPzLj8A	corazonazultw	69200	157	208419.0
Entertainment	2015-09-17	UCYhjVssYU44DFQ-be15zwlg	Corbacho	341704	199	
Entertainment	2014-01-18	UCLjjFRN3z0C86czDIvrc0HQ	Corbeano	21300	235	562558.0
Music	2016-01-22	UCM6EbmEFrTbrQ_31bUx5h3w	Corbett Report Extra...	55100	161	259237.0
Education	2011-12-10	UCqu9Na4YBSijiwdDj1KpyRg	corbettmaths	47300	793	265649.0
News & Politics	2007-06-15	UC7TvL4GlQyMBLlUsTrN_C4Q	corbettreport	345000	1575	52084.0
Entertainment	2013-06-28	UC0YMr6Jr_Po3EWYvuinVW4Q	Corbin Reinhardt	37800	55	200675.0
People & Blogs	2016-01-25	UCBJe_eM6iVcKrsGCVhJlH5g	Cord 3 Films	10339	31	903694.0
Science & Technology	2006-02-24	UC6tUZA7GiIZPaUu4FQXnFYA	Cord Cutters News	104000	978	120575.0
People & Blogs	2009-10-21	UCeCkgKd36T5JTtILtJnWUlg	Cord Varty	53800	48	261949.0
Entertainment	2007-09-03	UC6B-T5tYrJm1UzI7V9hUhcA	Cordaro Gross	10900	79	929835.0
Gaming	2011-02-13	UCxI4HTnW19C5AtEB_u-Ba2g	Corde712	14900	47	744384.0
Music	2015-11-28	UCgf41dj34t-zhBD9L2WPwyQ	Cordelia Nightcore	11400	98	648779.0
Entertainment	2010-09-22	UC2iCBAAvx9Ds9GAFny5gy3A	CordeliaCharter ASMR...	40300	108	343807.0
Music	2013-06-12	UCcyQWHTFbVr63R0UuDjiMVw	Cordero Roman	199161	17	91874.0
Entertainment	2013-03-04	UC7H6gYQ_8mcLGK9m_8OGF8Q	CorderyFX	60200	91	233535.0
Music	2017-08-20	UCNz_I_k-NYFPlAn4w1oQQDQ	3D Music India	946000	201	17750.0
Music	2006-12-03	UCDi8bXWtWYtxOIP3T-RZWZg	3D Na'Tee	48500	260	294237.0
Science & Technology	2015-05-17	UCmvCNU13VypmVJFIS8ZYrkw	3D Now	11100	68	779197.0
Science & Technology	2016-03-29	UCOvm1ePlttS6hWatuHThw_A	3D Pen Lab	448000	35	37521.0
Science & Technology	2010-08-15	UC_JCcNvW0Tr3rAGC2-8zxbA	3D Print - Tech Desi...	12500	263	814474.0
Film and Animation	2013-12-02	UCCjskdXEYX9GAxEjlMl81Ig	3D Print Guy	139432	18	116229.0
Gaming	2018-02-18	UCr_uz-iWzyR1VJNlN-E1y7w	3D Printed Tabletop	41700	51	275957.0
Science & Technology	2018-03-10	UC-skXpTftJJwg5WzLpFLXlA	3D Printing Canada	10745	101	796138.0
Science & Technology	2015-04-03	UC_7aK9PpYTqt08ERh1MewlQ	3D Printing Nerd	340000	713	49870.0
Entertainment	2011-05-05	UCJk5KVaJVBEEl_jP5gKjoDw	3D Printing Professo...	25500	319	449590.0
Education	2015-06-30	UCXZsqOiMxwyv6qNIbeXfGzw	3D Rhymes & Toys Jun...	181537	161	98736.0
People & Blogs	2013-09-09	UCsx-A5uSO_gYgi5A4RXFCag	3D Systems	18300	244	614620.0
Education	2010-09-18	UCbWrMsILyqSmWQkKLQsia8g	3D-Palace Internatio...	10923	554	925694.0
Gaming	2015-10-31	UCnO5ygba3vsJG9IeZLndaTQ	3D-VR-360 VIDEOS	966075	73	16120.0
Music	2017-10-28	UCXSpFPHHg9-k0d28sJzUshw	3DAudiMakerBOOSTED	27000	1081	437890.0
Music	2012-04-11	UCExtBE5bKuDkY5OGmvo37vA	3DB7	46700	41	313006.0
