category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb	weights
Gaming	2010-04-29	UC-lHJZR3Gqxm24_Vd_AJ5Yw	PewDiePie	101000000	3956	3.0	2.0869999999999997
Education	2006-09-01	UCbCmjCuTUZos6Inko4u57UQ	Cocomelon - Nursery ...	60100000	458	7.0	2.0869999999999997
Entertainment	2006-09-20	UCpEhnqL0y41EpW2TvWAHD7Q	SET India	56018869	32661	8.0	2.0869999999999997
Howto & Style	2016-11-15	UC295-Dw_tDNtZXFeAPAW6Aw	5-Minute Crafts	60600000	3591	9.0	2.0869999999999997
Sports	2007-05-11	UCJ5v_MCY6GNUBTO8-D3XoAg	WWE	48400000	43421	11.0	2.0869999999999997
Entertainment	2007-01-15	UCIwFjwMjI0y7PDBVEO9-bkQ	Justin Bieber	46574085	134	12.0	2.0869999999999997
Music	2014-03-12	UCFFbwnve3yF62-tVXkTyHqg	Zee Music Company	43451109	4241	13.0	2.0869999999999997
Sports	2009-03-17	UCRijo3ddMTht_IHyNSNXpNQ	Dude Perfect	45800000	213	14.0	2.0869999999999997
Entertainment	2015-05-12	UCk8GzjMOrta8yxDcKfylJYw	✿ Kids Diana Show	34700000	599	16.0	2.0869999999999997
Music	2006-08-08	UC0C-w0YjGpqDXGB8IHb662A	Ed Sheeran	42000000	154	17.0	2.0869999999999997
Gaming	2015-04-06	UCEdvpU2pFRCVqU6yIPyTpMQ	Marshmello	39100000	366	18.0	2.0869999999999997
Music	2007-02-09	UCfM3zsQsOnfWNUppiycmBuw	EminemMusic	39000000	117	20.0	2.0869999999999997
Music	2007-01-22	UC9CoOnJkIBMdeijd9qYoT_g	Ariana Grande	38090343	133	23.0	2.0869999999999997
Music	2006-09-20	UCqECaJ8Gagnn7YCbPEzWH6g	Taylor Swift	35800000	172	26.0	2.0869999999999997
Entertainment	2006-11-21	UCp0hYYBW6IMayGgR-WeoCvQ	TheEllenShow	34400000	10692	28.0	2.0869999999999997
Entertainment	2008-06-01	UCYvmuw-JtVrTZQ-7Y4kd63Q	Katy Perry	35028528	101	30.0	2.0869999999999997
Entertainment	2005-11-06	UCcgqSM4YEo5vVQpqwN-MaNw	Rihanna	32869647	77	33.0	2.0869999999999997
Entertainment	2018-04-23	UCvlE5gTbOvjiolFlEm-c_Ow	Vlad and Nikita	26600000	158	34.0	2.0869999999999997
Film and Animation	2006-04-28	UC3gNmTGu-TTbFPpfSs5kNkg	Movieclips	29500000	33894	35.0	2.0869999999999997
Howto & Style	2017-03-15	UC4rlAVgAK0SGk-yTfe48Qpw	BRIGHT SIDE	29800000	2872	36.0	2.0869999999999997
Music	2012-08-25	UCJrOtniJ0-NWz37R30urifQ	Alan Walker	29588818	198	39.0	2.0869999999999997
Film and Animation	2012-01-21	UCyoXW-Dse7fURq30EWl_CUA	Goldmines Telefilms	27487629	483	40.0	2.0869999999999997
Education	2013-02-09	UCBnZ16ahKA2DZ_T5W0FPUXg	ChuChu TV Nursery Rh...	26600000	317	44.0	2.0869999999999997
Music	2014-10-29	UC22nIfOTM7KLIQuFGMKzQbg	Wave Music	27900000	18295	45.0	2.0869999999999997
Music	2009-09-02	UC56gTxNs4f9xZ7Pa2i5xNzg	Sony Music India	27500000	2468	46.0	2.0869999999999997
